PG.ProteinGroups	PG.ProteinAccessions	PG.Genes	PG.ProteinDescriptions	Neurite_1	Neurite_2	Neurite_3	Neurite_4	Neurite_5	Neurite_6	 Soma_1	 Soma_2	 Soma_3	 Soma_4	 Soma_5
Q9H7B4	Q9H7B4	SMYD3	Histone-lysine N-methyltransferase SMYD3	18298.91797	19248.64258	17950.71875	20112.21484	18301.52734	17061.02734	18185.74805	19735.51367	20990.32227	19671.00195	17634.39258
Q9H7D7	Q9H7D7	WDR26	WD repeat-containing protein 26	11493.61914	12651.08691	10432.97168	10789.44434	11394.60156	11197.33691	18823.18359	19916.92188	17514.76953	20395.90234	20055.92188
Q9H7E2	Q9H7E2	TDRD3	Tudor domain-containing protein 3	18058.66211	Filtered	Filtered	31747.55469	27277.01172	29850.44922	7819.789551	7759.406738	8874.509766	3948.533203	6231.150879
Q9H7E9	Q9H7E9	C8orf33	UPF0488 protein C8orf33	14532.96582	17171.35156	12478.75488	13283.37012	11755.46289	14597.83691	41248.76172	41492.1875	44784.41797	46896.88672	46847.11328
Q9H7H0	Q9H7H0	METTL17	"Methyltransferase-like protein 17, mitochondrial"	1	1	1	1	1	1	5281.332031	3188.0354	5078.720703	4927.631836	4266.118652
Q9H7L9	Q9H7L9	SUDS3	Sin3 histone deacetylase corepressor complex component SDS3	1	1	1	1	1	1	4145.291016	5419.781738	7687.957031	5254.357422	9715.860352
Q9H7N4	Q9H7N4	SCAF1	"Splicing factor, arginine/serine-rich 19"	1	1	1	1	1	1	29117.97461	24864.54688	35290.46875	34311.21094	31082.24805
Q9H7Z3	Q9H7Z3	NRDE2	Nuclear exosome regulator NRDE2	2336.36084	1923.993042	Filtered	2382.82251	Filtered	Filtered	7173.234375	7511.04834	8179.439453	2086.123779	3453.804688
Q9H7Z6	Q9H7Z6	KAT8	Histone acetyltransferase KAT8	1	1	1	1	1	1	7016.083008	9792.102539	16022.9707	8807.186523	7600.847656
Q9H7Z7	Q9H7Z7	PTGES2	Prostaglandin E synthase 2	32252.66602	34244.76172	37445.82813	38389.41797	36287.52344	36034	38618.87891	30628.73828	27405.6582	31697.25391	38904.33203
Q9H813	Q9H813	PACC1	Proton-activated chloride channel	10607.20703	11170.73828	7148.312012	7858.935059	8358.279297	7326.952637	12872.46289	12217.12402	10264.51563	14217.01172	11786.40137
Q9H814	Q9H814	PHAX	Phosphorylated adapter RNA export protein	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	4338.819824	1890.615723	1514.234375	1819.668213
Q9H819	Q9H819	DNAJC18	DnaJ homolog subfamily C member 18	1	1	1	1	1	1	2091.594238	862.8206787	2243.353271	1505.560669	1725.441406
Q9H832	Q9H832	UBE2Z	Ubiquitin-conjugating enzyme E2 Z	36318.83594	36092.75	37161.89063	36659.62891	40027.55469	40372.99609	27494.41992	29686	23885.07617	26866.16992	26816.2168
Q9H845	Q9H845	ACAD9	"Complex I assembly factor ACAD9, mitochondrial"	59227.19531	63239.57031	57505.14453	55619.75	56921.46875	53687.08203	81858.66406	65901.6875	72452.5	77833.41406	75655.375
Q9H857	Q9H857	NT5DC2	5'-nucleotidase domain-containing protein 2	60216.94922	57262.27344	58170.23438	57580.28125	56979.10938	55005.01172	96448.89063	89725.66406	93470.07031	97937.00781	100121.2969
Q9H871	Q9H871	RMND5A	E3 ubiquitin-protein transferase RMND5A	Filtered	Filtered	1689.270752	Filtered	Filtered	3355.837402	6064.673828	6993.517578	3678.197021	7183.000488	6897.876953
Q9H875	Q9H875	PRKRIP1	PRKR-interacting protein 1	Filtered	Filtered	Filtered	1440.691772	7343.21875	Filtered	8916.151367	10950.25684	12083.16309	9451.033203	10513.53223
Q9H898	Q9H898	ZMAT4	Zinc finger matrin-type protein 4	1	1	1	1	1	1	7266.851563	2685.592041	7440.172363	5886.999512	5561.611328
Q9H8G2	Q9H8G2	CAAP1	Caspase activity and apoptosis inhibitor 1	1	1	1	1	1	1	4342.819824	5106.3125	11046.66016	7962.122559	9004.895508
Q9H8H0	Q9H8H0	NOL11	Nucleolar protein 11	Filtered	2836.04248	Filtered	Filtered	Filtered	Filtered	54135.47656	46969.78906	52960.37109	53024.16406	53451.37891
Q9H8H2	Q9H8H2	DDX31	Probable ATP-dependent RNA helicase DDX31	1	1	1	1	1	1	9541.786133	7187.390625	9968.644531	9912.326172	9369.325195
Q9H8H3	Q9H8H3	METTL7A	Methyltransferase-like protein 7A	Filtered	2330.744385	2448.6604	1840.298828	1304.589111	Filtered	5373.666992	4831.574707	4956.819824	5070.53418	7444.305176
Q9H8M5	Q9H8M5	CNNM2	Metal transporter CNNM2	21903.21094	25237.5332	26248.24219	27907.01367	24817.02148	25482.47266	22209.10352	20274.81055	23957.27734	21205.32422	22347.29688
Q9H8M7	Q9H8M7	MINDY3	Ubiquitin carboxyl-terminal hydrolase MINDY-3	134828.9844	131025.625	136291.4219	139116.3125	132054.8438	131334.2656	122250.0156	136403.3438	135508.9375	144416.1406	134585.0156
Q9H8T0	Q9H8T0	AKTIP	AKT-interacting protein	1	1	1	1	1	1	4473.996582	7082.483887	6509.516602	6735.808105	6968.10791
Q9H8Y5	Q9H8Y5	ANKZF1	Ankyrin repeat and zinc finger domain-containing protein 1	6026.580078	8247.466797	5232.997559	6567.370605	2034.300537	5373.57373	10367.99902	11832.18945	10185.68652	9807.832031	10784.9043
Q9H8Y8	Q9H8Y8	GORASP2	Golgi reassembly-stacking protein 2	67966.92969	34110.55078	90246.92188	32764.77539	66740.49219	87839.35938	231375.0156	236904.2656	262652.8438	245072.3125	258354.5313
Q9H900	Q9H900	ZWILCH	Protein zwilch homolog	5637.29248	5348.324219	2899.521729	5629.657715	4187.436035	5762.641602	7413.696777	9608.614258	9834.435547	9216.165039	11082.80957
Q9H902	Q9H902	REEP1	Receptor expression-enhancing protein 1	204334.5781	200705.4844	281894.1563	412918.5625	206897.2344	208692.1563	166796.25	149892	329035.0625	157209.8281	315819.4688
Q9H910	Q9H910	JPT2	Jupiter microtubule associated homolog 2	47385.63281	22749.66992	36426.46875	41528.02344	30516.87109	38145.92969	48856.50781	77811.47656	66531.09375	45618.30469	57055.67969
Q9H936	Q9H936	SLC25A22	Mitochondrial glutamate carrier 1	221603.5313	209625.6875	211882.4063	217212.2813	203080.9375	200212.0156	273531.6563	232687.3281	289463.875	259819.5781	253890.125
Q9H974	Q9H974	QTRT2	Queuine tRNA-ribosyltransferase accessory subunit 2	11350.52441	14413.62402	14121.40625	14261.17969	11921.19922	14446.60449	11285.13086	10478.81641	12143.72461	12384.41797	12313.92383
Q9H977	Q9H977	WDR54	WD repeat-containing protein 54	18976.35938	17851.37305	16030.91602	17494.91602	17533.65234	15802.87793	14590.71191	12772.29688	15165.62207	13543.3916	14331.67188
Q9H981	Q9H981	ACTR8	Actin-related protein 8	1	1	1	1	1	1	5242.983398	4647.13623	5383.257324	4756.714355	5043.108398
Q9H993	Q9H993	ARMT1	Damage-control phosphatase ARMT1	42654.87891	57364.90625	59471.12109	69323.27344	65872.40625	77864.07031	57649.86719	56485.83984	33181.01953	60711.02734	62822.21094
Q9H9A6	Q9H9A6	LRRC40	Leucine-rich repeat-containing protein 40	56642.09766	54307.10156	61396.28906	56544.97266	57670.04297	57937.24219	36446.67969	44562.08984	33414.45313	39870.13672	38878.44922
Q9H9B1	Q9H9B1	EHMT1	Histone-lysine N-methyltransferase EHMT1	Filtered	8703.092773	9721.40332	342.4460754	Filtered	2022.651123	22495.60547	43728.79688	41801.88281	36499.91797	39569.36328
Q9H9B4	Q9H9B4	SFXN1	Sideroflexin-1	464099.0938	467635.875	469409.7188	487100	468762.0938	464125.5938	481940.875	471421.7188	621766.5625	536492.25	528344.1875
Q9H9C1	Q9H9C1	VIPAS39	Spermatogenesis-defective protein 39 homolog	44097.71094	38937.78906	36683.51563	106205.6719	60484.84375	89405.32813	23069.91016	19784.61719	25838.8125	28657.4707	36279.65234
Q9H9E3	Q9H9E3	COG4	Conserved oligomeric Golgi complex subunit 4	9976.404297	8699.088867	9515.242188	8836.794922	8268.222656	9132.447266	22327.24219	21660.21875	23009.3418	24000.56055	23947.72461
Q9H9F9	Q9H9F9	ACTR5	Actin-related protein 5	6887.073242	2817.432617	3500.632813	4771.47168	4016.507813	6746.440918	17333.46875	17716.2793	19090.4082	17177.48047	17296.39844
Q9H9G7	Q9H9G7	AGO3	Protein argonaute-3	19614.63086	17905.83203	15784.37109	17353.79492	17259.50977	17385.59766	37128.87109	37603.51172	42325.64844	40445.17969	41448.5
Q9H9J2	Q9H9J2	MRPL44	"39S ribosomal protein L44, mitochondrial"	24271.01172	24560.21289	23582.12305	24344.46289	23593.83594	23619.77539	60691.65234	54142.90625	58695.07813	56442.67969	57890.45703
Q9H9J4	Q9H9J4	USP42	Ubiquitin carboxyl-terminal hydrolase 42	Filtered	Filtered	32948.10938	Filtered	Filtered	Filtered	5499.792969	7491.698242	6814.699707	5838.351563	5637.986816
Q9H9L4	Q9H9L4	KANSL2	KAT8 regulatory NSL complex subunit 2	1	1	1	1	1	1	3145.43335	4553.753418	2644.679688	4397.327148	3580.733887
Q9H9P8	Q9H9P8	L2HGDH	"L-2-hydroxyglutarate dehydrogenase, mitochondrial"	28880.62305	51000.10156	28224.31055	49982.65625	94691.02344	42258.71094	39748.01563	35665.41406	35266.92969	42718.20313	69357.0625
Q9H9Q2	Q9H9Q2	COPS7B	COP9 signalosome complex subunit 7b	63747.87109	53147.22656	63627.12891	61420.21875	66562.41406	73887.82813	68611.20313	69910.96875	56373.33594	60528.69531	72553.64063
Q9H9Q4	Q9H9Q4	NHEJ1	Non-homologous end-joining factor 1	10663.97656	5425.634766	9666.033203	7846.848145	7990.191895	10390.79883	19422.04102	22302.16211	17768.33008	21385.86133	23037.19922
Q9H9S3	Q9H9S3	SEC61A2	Protein transport protein Sec61 subunit alpha isoform 2	5002.250488	Filtered	4459.961426	14518.94238	4361.604492	Filtered	22964.05859	17300.17773	57614.26563	34674.64063	47305.71484
Q9H9S4	Q9H9S4	CAB39L	Calcium-binding protein 39-like	18363.98242	17754.83398	19283.97461	18504.33203	18106.61523	19269.06445	9915.651367	14488.65625	14827.05176	14616.85645	13882.54883
Q9H9S5	Q9H9S5	FKRP	Fukutin-related protein	Filtered	Filtered	Filtered	Filtered	Filtered	1180.088257	9965.387695	9342.224609	9330.222656	11647.85938	10317.74219
Q9H9T3	Q9H9T3	ELP3	Elongator complex protein 3	31422.17773	35975.75781	31554.12305	29410.76953	30938.12695	31768.85156	37092.85938	38150.11328	36496.42188	42517.08594	42110.88281
Q9H9Y2	Q9H9Y2	RPF1	Ribosome production factor 1	1087.883545	Filtered	Filtered	Filtered	Filtered	2726.07373	4228.09668	3596.24585	3294.13916	5486.490723	8728.458008
Q9H9Y6	Q9H9Y6	POLR1B	DNA-directed RNA polymerase I subunit RPA2	78313.6875	62203.36328	60296.16797	64562.99609	63307.40234	26593.20703	65723.40625	52480.11328	63915.41797	47029.55469	47853.22266
Q9H9Z2	Q9H9Z2	LIN28A	Protein lin-28 homolog A	22222.60938	26884.43945	24068.125	31350.61914	25555.2832	23464.88672	163272.1563	95418.00781	149585.9688	165818.875	162822.3438
Q9HA38	Q9HA38	ZMAT3	Zinc finger matrin-type protein 3	1	1	1	1	1	1	1343.824341	549.4202881	2220.248779	1450.914429	1005.158691
Q9HA64	Q9HA64	FN3KRP	Ketosamine-3-kinase	18890.57422	7494.69043	21679.96289	20797.93555	21040.36914	19766.87305	6581.031738	10124.25781	6517.633789	10413.85352	11046.78906
Q9HA65	Q9HA65	TBC1D17	TBC1 domain family member 17	23697.18164	24974.47656	25316.69336	25681.14453	23515.70898	23648.71875	18808.51563	19973.05859	16100.65039	19768.20117	21595.0957
Q9HA77	Q9HA77	CARS2	"Probable cysteine--tRNA ligase, mitochondrial"	42556.33984	43427.59766	42880.16406	44359.67188	45246.57813	41547.95703	77275.70313	65780.39844	77431.32031	68007.89063	74560.72656
Q9HA90	Q9HA90	EFCC1	EF-hand and coiled-coil domain-containing protein 1	16432.07813	14565.92383	17082.29883	17945.78711	15075.9668	14597.10156	8681.279297	8139.282715	8134.779785	8586.136719	7681.558105
Q9HA92	Q9HA92	RSAD1	"Radical S-adenosyl methionine domain-containing protein 1, mitochondrial"	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	2935.704102	Filtered	3974.363525	4305.015625	3721.224121
Q9HAB8	Q9HAB8	PPCS	Phosphopantothenate--cysteine ligase	24933.23047	25245.46484	24253.04688	24263.39453	25755.0625	23352.35938	14120.77637	15418.39453	15547.03906	16383.82617	13042.71582
Q9HAD4	Q9HAD4	WDR41	WD repeat-containing protein 41	24508.9043	26899.17578	26887.23047	26197.19922	25843.41602	22774.64844	12492.8584	11918.99023	12963.21973	13171.99902	12763.99902
Q9HAF1	Q9HAF1	MEAF6	Chromatin modification-related protein MEAF6	1	1	1	1	1	1	15593.69043	12611.13184	18163.08398	15424.68457	18506.45313
Q9HAK2	Q9HAK2	EBF2	Transcription factor COE2	1	1	1	1	1	1	8647.272461	8955.629883	11622.13965	10542.54199	8823.060547
Q9HAN9	Q9HAN9	NMNAT1	Nicotinamide/nicotinic acid mononucleotide adenylyltransferase 1	1	1	1	1	1	1	9897.461914	7620.384277	9652.785156	8441.067383	10432.12891
Q9HAP6	Q9HAP6	LIN7B	Protein lin-7 homolog B	Filtered	2402.578613	4225.583984	4368.334961	Filtered	2967.592285	2619.015625	5877.791992	7772.446777	2485.729248	3992.164307
Q9HAR2	Q9HAR2	ADGRL3	Adhesion G protein-coupled receptor L3	109459.2891	107565.5391	115411.625	113981.4766	118945.9063	117728.8594	94019.29688	92088.375	84504.85938	84641.47656	86466.32031
Q9HAS0	Q9HAS0	C17orf75	Protein Njmu-R1	11689.51563	9959.901367	9449.133789	9509.03125	11082.41309	10040.16016	8923.899414	9595.376953	10484.49512	10365.06445	8590.925781
Q9HAT2	Q9HAT2	SIAE	Sialate O-acetylesterase	17300.4668	16680.3418	17773.37891	17578.39844	19300.26563	17376.18164	40106.625	34343.32031	35591.64844	36842.3125	38561.21484
Q9HAT8	Q9HAT8	PELI2	E3 ubiquitin-protein ligase pellino homolog 2	19984.79102	16911.47461	15013.96289	14905.60742	20759.16406	15487.3125	15678.7832	22580.86719	17375.77734	16980.27539	16523.11719
Q9HAU0	Q9HAU0	PLEKHA5	Pleckstrin homology domain-containing family A member 5	35091.21875	29369.48047	31624.41406	37022.40234	33163.12109	33212.3125	30389.69727	24897.69336	34696.50391	27418.74609	27000.90234
Q9HAU5	Q9HAU5	UPF2	Regulator of nonsense transcripts 2	24457.30664	22234.77734	25518.41602	26219.98047	21542.4082	25194.30859	12806.53711	18241.3457	15595.55566	19375.16211	17486.35547
Q9HAV0	Q9HAV0	GNB4	Guanine nucleotide-binding protein subunit beta-4	12098.46094	12221.43262	14993.64844	13229.43359	10829.73438	13054.56543	10880.8916	6698.798828	6200.388184	6778.906738	9438.425781
Q9HAV4	Q9HAV4	XPO5	Exportin-5	23625.2207	24477.75586	20473.99805	24114.34375	22091.31641	24205.81836	150969.3594	156813.875	156835.2656	165399.9531	171657.8281
Q9HAV7	Q9HAV7	GRPEL1	"GrpE protein homolog 1, mitochondrial"	3795.29541	7259.119141	10324.79785	9905.359375	5510.240723	9649.716797	15124.01758	16437.92969	12669.74707	14703.64941	19706.1875
Q9HB07	Q9HB07	MYG1	MYG1 exonuclease	173762.75	178391.0938	179422.25	151837.5469	164991.6094	159317.5156	174470.9219	208764.4531	164002.6094	177952.875	186552.9063
Q9HB20	Q9HB20	PLEKHA3	Pleckstrin homology domain-containing family A member 3	3556.228271	3072.074951	2037.861328	3032.632324	3270.161865	Filtered	10573.87012	10590.92578	8750.651367	10658.02344	10694.06836
Q9HB21	Q9HB21	PLEKHA1	Pleckstrin homology domain-containing family A member 1	23213.35352	25147.05078	31009.81836	31515.77344	31792.70703	22842.57227	20335.92578	21308.56836	21573.70313	20257.98828	22651.91406
Q9HB40	Q9HB40	SCPEP1	Retinoid-inducible serine carboxypeptidase	1	1	1	1	1	1	1488.811279	977.3468018	3877.386963	2644.881836	2036.528931
Q9HB71	Q9HB71	CACYBP	Calcyclin-binding protein	36954.1875	33140.30078	31217.64258	35435.89063	33832.9375	33262.05859	36704.89453	39015.89453	30600.46484	37522.40234	36679.28125
Q9HB90	Q9HB90	RRAGC	Ras-related GTP-binding protein C	23347.82227	15093.22949	19698.5957	13731.85645	21024.22656	14035.50781	17600.43945	12555.41797	13763.98926	12023.57031	10072.00977
Q9HBE1	Q9HBE1	PATZ1	"POZ-, AT hook-, and zinc finger-containing protein 1"	1	1	1	1	1	1	13157.56445	10887.6123	11546.96289	11657.44531	13939.71875
Q9HBF4	Q9HBF4	ZFYVE1	Zinc finger FYVE domain-containing protein 1	27131.40234	24296.40234	26844.94727	24171.08398	24660.75781	23532.8457	16907.77539	15761.1084	13608.61133	15906.69629	15550.93652
Q9HBG6	Q9HBG6	IFT122	Intraflagellar transport protein 122 homolog	11085.7373	9922.439453	9847.94043	10183.49707	8777.164063	9428.294922	7175.28125	7557.36377	7584.742676	6205.671387	6390.630371
Q9HBH1	Q9HBH1	PDF	"Peptide deformylase, mitochondrial"	31818.0332	41237.73047	37784.92969	38366.92578	34508.53125	38409.03516	72208.28906	45320.26172	73782.97656	63593.20313	63560.37109
Q9HBH5	Q9HBH5	RDH14	Retinol dehydrogenase 14	31176.88086	23571.77148	25600.60742	29615.25977	28718.09766	27931.69336	23165.38086	21074.35938	24860.09766	19208.59375	22283.76563
Q9HBK9	Q9HBK9	AS3MT	Arsenite methyltransferase	2493.700928	1205.954346	1566.688599	2606.390625	1469.521729	2403.383301	2638.115234	4993.632813	2864.406982	2399.047363	2411.393555
Q9HBL8	Q9HBL8	NMRAL1	NmrA-like family domain-containing protein 1	10198.9707	8570.510742	9820.4375	8453.771484	11739.48535	7919.527344	6424.64209	8873.617188	5568.154785	6167.954102	5553.401855
Q9HBM0	Q9HBM0	VEZT	Vezatin	49884.66797	48299.08984	56116.66406	53064.00391	55921.82813	55393.26953	64094.69531	58882.36328	66224.96875	56308.5625	64477.28516
Q9HBR0	Q9HBR0	SLC38A10	Putative sodium-coupled neutral amino acid transporter 10	8583.759766	10686.19922	Filtered	2671.264893	4043.072998	4236.678711	17154.36523	16071.56738	18916.7207	15352.57324	16521.03906
Q9HBU6	Q9HBU6	ETNK1	Ethanolamine kinase 1	4195.355957	4304.576172	4444.674805	11159.9873	Filtered	Filtered	3224.741211	2796.502441	8184.707031	3683.104492	3699.555176
Q9HBW0	Q9HBW0	LPAR2	Lysophosphatidic acid receptor 2	Filtered	2174.326904	2813.121094	4863.664551	4913.052246	Filtered	2928.542969	2872.62915	Filtered	5856.952148	467.5422058
Q9HBZ2	Q9HBZ2	ARNT2	Aryl hydrocarbon receptor nuclear translocator 2	1	1	1	1	1	1	1777.704956	1.364947438	2840.10791	1856.484375	2597.063477
Q9HC35	Q9HC35	EML4	Echinoderm microtubule-associated protein-like 4	115360.3906	109088.5078	105582.0625	119084.5781	119724.5625	125529.5078	78709.08594	78815.30469	81606.63281	85087.70313	84057.35156
Q9HC36	Q9HC36	MRM3	"rRNA methyltransferase 3, mitochondrial"	3425.626953	2496.022217	3250.416992	4116.342285	3634.357422	3401.7229	12486.13379	10282.84961	11218.35352	11073.10547	10315.88867
Q9HC38	Q9HC38	GLOD4	Glyoxalase domain-containing protein 4	197583.5313	191202.7344	197253.3438	197204.4531	202114.1563	210348.8125	155394.9531	171092.9531	156449.1406	162531.1406	158292.2969
Q9HC52	Q9HC52	CBX8	Chromobox protein homolog 8	Filtered	Filtered	319.2264709	Filtered	Filtered	Filtered	29101.83203	24099.92773	14993.74023	20475.4375	29601.71484
Q9HC56	Q9HC56	PCDH9	Protocadherin-9	76985.15625	61859.13281	78854.00781	83139.58594	82557.19531	78208.4375	50599.76563	46411.67578	50915.82031	44368.23047	42393.85156
Q9HC96	Q9HC96	CAPN10	Calpain-10	6626.744141	5883	7009.389648	6197.95752	6506.751953	6128.378906	3351.625488	4132.728027	3785.883301	3124.248047	3007.031006
Q9HCC0	Q9HCC0	MCCC2	"Methylcrotonoyl-CoA carboxylase beta chain, mitochondrial"	67096.50781	72623.40625	72493	73774.55469	68989.97656	72422.41406	109292.375	107045.5859	128743.0938	138294.9375	128619.2656
Q9HCD5	Q9HCD5	NCOA5	Nuclear receptor coactivator 5	2580.520752	3444.088135	Filtered	Filtered	2280.236572	2224.764648	58525.86328	62807.18359	63406.39063	67936.6875	74289.07813
Q9HCD6	Q9HCD6	TANC2	Protein TANC2	25076.73633	22819.16211	23719.49414	23516.81641	19788.95508	18540.39844	10942.63086	10598.06445	11978.34863	11317.14844	8390.614258
Q9HCE0	Q9HCE0	EPG5	Ectopic P granules protein 5 homolog	4463.132324	4443.246582	4757.437012	5341.238281	6188.199219	4643.011719	3338.223145	2312.829834	4359.34668	4187.242188	3145.404785
Q9HCE1	Q9HCE1	MOV10	Helicase MOV-10	63108.59766	49643.10547	36466.76172	50430.92188	48537.39844	48935.87109	22577.33398	19412.77539	19811.34961	21339.2168	21220.89063
Q9HCE3	Q9HCE3	ZNF532	Zinc finger protein 532	2596.676758	2779.729736	945.0291138	3422.558838	1607.200562	2888.07666	10789.94336	10573.9209	10665.41504	9732.1875	12450.0332
Q9HCE5	Q9HCE5	METTL14	N6-adenosine-methyltransferase non-catalytic subunit	1	1	1	1	1	1	12067.66797	7846.135254	14553.36133	13937.83008	14420.36523
Q9HCE6	Q9HCE6	ARHGEF10L	Rho guanine nucleotide exchange factor 10-like protein	55739.01953	61106.06641	52712.30859	57292.36719	53899.62109	52488.40625	40556.32031	42255.48047	43916.5625	43594.30469	41392.35547
Q9HCE9	Q9HCE9	ANO8	Anoctamin-8	14665.48047	14694.08496	12305.77148	11008.86035	12041.17578	11918.22168	12184.73047	12813.19727	13152.625	12217.12988	12773.11914
Q9HCF6	Q9HCF6	TRPM3	Transient receptor potential cation channel subfamily M member 3	2452.940674	2376.630127	2903.631592	3292.854492	Filtered	3147.273682	3741.362061	3150.563965	3501.564941	3156.442627	3270.642822
Q9HCG7	Q9HCG7	GBA2	Non-lysosomal glucosylceramidase	60049.75391	58088.58984	57343.02344	57254.33203	61230.60156	54989.41406	40551.28125	42855.38281	41480.58594	37768.85938	36042.47266
Q9HCG8	Q9HCG8	CWC22	Pre-mRNA-splicing factor CWC22 homolog	Filtered	Filtered	Filtered	4813.160645	Filtered	Filtered	10711.85449	10260.3916	12573.96484	14303.5752	14305.61816
Q9HCH0	Q9HCH0	NCKAP5L	Nck-associated protein 5-like	9215.03418	8924.555664	9416.616211	7374.527344	7329.541504	6797.439941	7963.328125	8763.579102	10636.63086	7589.864258	5461.783691
Q9HCI6	Q9HCI6	KIAA1586	E3 SUMO-protein ligase KIAA1586	Filtered	Filtered	Filtered	335.6038513	Filtered	Filtered	729.416748	908.0956421	1797.992798	2122.824707	2769.87915
Q9HCI7	Q9HCI7	MSL2	E3 ubiquitin-protein ligase MSL2	1	1	1	1	1	1	3617.66333	2963.205322	7206.041992	5700.754883	6074.808105
Q9HCJ0	Q9HCJ0	TNRC6C	Trinucleotide repeat-containing gene 6C protein	969.3549194	Filtered	Filtered	795.180542	Filtered	Filtered	2439.904785	4149.099609	4322.563477	4187.941895	3802.820801
Q9HCJ6	Q9HCJ6	VAT1L	Synaptic vesicle membrane protein VAT-1 homolog-like	366837.0938	386832.9375	402427.75	371474.6875	393454.5938	380415.9375	140238.2656	137162.2344	128230.3516	140905.25	114258.7266
Q9HCK4	Q9HCK4	ROBO2	Roundabout homolog 2	252239.4063	255614.9844	265638.9688	250205.9531	250995.8906	230108.5938	114614.3906	107653.1406	111787.9297	104339.0313	85199.63281
Q9HCK5	Q9HCK5	AGO4	Protein argonaute-4	10082.7334	9731.179688	10030.76465	9501.991211	8507.419922	8203.43457	11410.0498	11473.26172	14295.62793	13102.1875	13434.11035
Q9HCK8	Q9HCK8	CHD8	Chromodomain-helicase-DNA-binding protein 8	83716.94531	171755.7031	32218.20703	83065.71094	20195.46875	5289.258789	13188.41895	13780.66602	36788.35156	23122.04102	30481.29102
Q9HCM2	Q9HCM2	PLXNA4	Plexin-A4	97813.84375	88837.0625	93496.8125	92160.97656	95394.76563	89611.90625	40407.34375	41878.61328	40309.98047	38997.63281	37675.11328
Q9HCM3	Q9HCM3	KIAA1549	UPF0606 protein KIAA1549	36414.88281	37245.09766	39672.13281	35802.33984	37644.60938	37515.97656	44612.97266	45396.21875	52352.86328	43223.35156	46969.46875
Q9HCM4	Q9HCM4	EPB41L5	Band 4.1-like protein 5	5214.821289	7589.46875	4952.404297	6795.866699	5636.46582	7201.433105	10608.69141	8886.782227	11681.35156	12231.30078	12366.79785
Q9HCN4	Q9HCN4	GPN1	GPN-loop GTPase 1	13640.32227	23222.34766	15831.85059	14232.21387	14050.42383	14371.71777	18133.88281	20079.59766	17827.94336	20164.14063	21550.38672
Q9HCS5	Q9HCS5	EPB41L4A	Band 4.1-like protein 4A	7450.693359	8148.10498	7981.609375	6814.435547	7635.193848	6907.708984	5459.651367	6120.555664	9370.736328	4461.054688	4292.158203
Q9HCS7	Q9HCS7	XAB2	Pre-mRNA-splicing factor SYF1	8953.385742	Filtered	7429.030762	12226.48438	1960.352783	4781.793457	23487.11719	18800.18945	25690.65039	26959.15625	25476.80469
Q9HCU4	Q9HCU4	CELSR2	Cadherin EGF LAG seven-pass G-type receptor 2	2359.980957	4863.710938	3880.506592	2432.722656	2448.666504	4986.524414	7930.251465	7907.284668	7985.143555	7164.672852	8003.693848
Q9HCU5	Q9HCU5	PREB	Prolactin regulatory element-binding protein	33467.625	35874.16016	34316.35156	37094.5625	33404.04688	32847.28125	50959.77344	45135.375	51528.32813	53314.48047	48807.48828
Q9HD20	Q9HD20	ATP13A1	Endoplasmic reticulum transmembrane helix translocase	63701.19141	78417.57031	63583.92578	128042.875	63590.75391	71704.21875	74226.84375	65941.65625	156924.6719	111315.8594	133029.7656
Q9HD23	Q9HD23	MRS2	"Magnesium transporter MRS2 homolog, mitochondrial"	5560.48291	5003.497559	6471.819824	8246.354492	6401.108887	5115.423828	9060.686523	8607.522461	8090.552246	7930.958984	9591.483398
Q9HD26	Q9HD26	GOPC	Golgi-associated PDZ and coiled-coil motif-containing protein	28482.62891	28104.9668	31692.64453	32137.9082	32576.01758	29829.02539	43964.96875	46959.53125	50875.89063	45545.26563	43657.48438
Q9HD33	Q9HD33	MRPL47	"39S ribosomal protein L47, mitochondrial"	17483.66992	19093.86133	14705.23633	16491.3457	10074.28125	11967.08887	18486.49023	16122.95605	16246.36328	20815.65625	15365.31445
Q9HD34	Q9HD34	LYRM4	LYR motif-containing protein 4	11566.85156	11770.50293	11729.60938	12840.71191	12442.49121	12415.32715	25547.88867	23781.20703	25621.66406	23652.66602	22765.29297
Q9HD45	Q9HD45	TM9SF3	Transmembrane 9 superfamily member 3	8345.826172	9413.994141	11825.29395	7364.428711	14601.37109	5533.402344	64530.08594	55122.94922	60444.59766	62378.00391	64006.88672
Q9HDC9	Q9HDC9	APMAP	Adipocyte plasma membrane-associated protein	123305.2109	130369.1094	110356.8047	120035.0469	130989.9297	124563.7578	181944.9219	153705.1094	137429.3594	162233.4375	166606.625
Q9NNW5	Q9NNW5	WDR6	WD repeat-containing protein 6	8344.763672	7788.268555	7361.93457	8762.157227	7452.446777	8185.684082	25946.08984	20975.68359	25233.38867	26830.62305	26275.26563
Q9NP58	Q9NP58	ABCB6	"ATP-binding cassette sub-family B member 6, mitochondrial"	5679.481445	5964.083984	5122.817383	5217.693359	4305.227539	6081.07959	2024.746216	3101.594971	1445.980591	3567.512207	2390.469727
